name,Type,porb_mu,porb_sigma_plus,porb_sigma_minus,type_p,kcp_mu,kcp_sigma_plus,kcp_sigma_minus,type_k,e_mu,e_sigma,type_e,i_mu,i_sigma_plus,i_sigma_minus,type_i,q_mu,q_sigma_plus,q_sigma_minus,type_q,mbh_mu,mbh_sigma_plus,mbh_sigma_minus,type_m,m_new_mu,m_new_sigma_plus,m_new_sigma_minus,type_mnew,ref_1,ref_2,ref_3
HD 130298,Non-interacting,14.62959,0.000854,0.000854,n,71.78,0.68,0.68,n,0.457,0.007,n,54.0,16.0,16.0,n,3.18,0.72,0.499,an,8.8,3.5,1.5,an,11.57,11.51,3.84,an,https://www.aanda.org/articles/aa/full_html/2022/08/aa43147-22/aa43147-22.html,https://www.aanda.org/articles/aa/abs/2012/02/aa18116-11/aa18116-11.html,
OGLE-2011-BLG-0462,Isolated,0.0,0.0,0.0,an,0.0,0.0,0.0,an,0.0,0.0,n,0.0,0.0,0.0,an,0.0,0.0,0.0,an,7.15,0.83,0.83,n,7.15,0.83,0.83,n,https://iopscience.iop.org/article/10.3847/1538-4357/adbe6e,,
G3425,Non-interacting,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.6,0.8,0.5,an,3.44,2.45,1.37,an,https://www.nature.com/articles/s41550-024-02359-9,,
MAXI J0637-430,LMXB,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.1,1.6,1.6,n,5.1,1.6,1.6,n,https://academic.oup.com/mnras/article/515/2/3105/6639876,,
MAXI J1813-095,LMXB,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.4,1.5,1.5,n,7.4,0.9,0.93,an,https://iopscience.iop.org/article/10.1088/1674-4527/21/5/125,,
MAXI J1535-571,LMXB,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.9,1.0,1.0,n,8.9,1.0,1.0,n,https://iopscience.iop.org/article/10.3847/1538-4357/ab0c1e,,
XTE J1746-322,LMXB,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11.21,1.65,1.96,an,11.13,1.61,2.0,an,https://iopscience.iop.org/article/10.3847/1538-4357/834/1/88,https://link.springer.com/article/10.1134/S1063778818020187,
Swift J1727.8-1613,HMXB,0.450128,4.2e-05,4.2e-05,n,390.0,4.0,4.0,n,0.0,0.0,n,0.0,60.0,74.0,u,0.0,0.001,1.0,u,3.12,0.1,0.1,n,3.71,0.03,0.71,an,https://www.aanda.org/articles/aa/full_html/2025/01/aa51960-24/aa51960-24.html,,
GRS 1009-45,LMXB,0.285206,1.38e-06,1.38e-06,n,475.4,5.9,5.9,n,0.0,0.0,n,78.0,7.8,7.8,n,0.137,0.015,0.015,n,4.4,0.44,0.44,n,4.35,0.64,0.21,an,https://www.mdpi.com/2075-4434/11/1/19,https://iopscience.iop.org/article/10.1086/316413,
4U 1543-475,LMXB,1.116407,3e-06,3e-06,n,129.33,1.68,1.79,an,0.0,0.0,n,20.7,1.5,1.5,n,0.0,0.25,0.31,u,0.0,8.45,10.39,u,9.15,2.5,1.47,an,https://arxiv.org/abs/astro-ph/0209041,,
3A 1524-617,LMXB,0.26,0.01,0.01,n,501.0,52.0,52.0,n,0.0,0.0,n,57.0,13.0,13.0,n,0.0,0.01,0.31,u,5.8,3.0,2.4,an,5.46,5.9,1.13,an,https://academic.oup.com/mnras/article/527/3/5949/7424163,https://academic.oup.com/mnras/article/516/2/2023/6693540?guestAccessKey=,
GRS 1716-249,LMXB,0.278,0.008,0.008,n,521.0,52.0,52.0,n,0.0,0.0,n,61.0,15.0,15.0,n,0.0,0.02,0.25,u,6.4,3.2,2.0,an,5.12,0.11,0.11,n,https://academic.oup.com/mnras/article/526/4/5209/7303289,,
